City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,new plymouth,-39.0667,174.0833,12.95,53,12,6.05,NZ,1710823191
65,byron bay,-28.65,153.6167,26.51,72,11,3.21,AU,1710823338
66,puerto natales,-51.7236,-72.4875,2.32,92,99,1.37,CL,1710823338
67,edinburgh of the seven seas,-37.0676,-12.3116,18.78,91,100,7.53,SH,1710823339
68,siwa oasis,29.2041,25.5195,13.2,68,0,2.69,EG,1710823340
69,vernon,50.2581,-119.2691,11.83,56,23,3.09,CA,1710823285
70,atafu village,-8.5421,-172.5159,29.2,74,98,3.38,TK,1710823341
71,sabang,5.8933,95.3214,28.84,71,11,6.05,ID,1710823341
72,kavieng,-2.5744,150.7967,26.01,88,100,6.71,PG,1710823342
73,bilibino,68.0546,166.4372,-15.36,82,4,1.47,RU,1710823261
74,sompeta,18.9333,84.6,31.45,49,12,4.69,IN,1710823343
75,utrik,11.2278,169.8474,26.68,77,98,6.34,MH,1710823343
76,bredasdorp,-34.5322,20.0403,18.39,98,98,1.81,ZA,1710823344
77,wailua homesteads,22.0669,-159.378,23.24,75,100,5.66,US,1710823344
78,wotho,10.1657,166.0102,27.18,82,77,6.69,MH,1710823345
79,manokwari,-0.8667,134.0833,28.94,76,100,4.95,ID,1710823346
80,tomatlan,19.9333,-105.25,19.87,69,78,1.32,MX,1710823346
81,dokshytsy,54.8924,27.7689,2.58,94,100,3.99,BY,1710823347
82,howard springs,-12.497,131.047,32.21,74,100,6.23,AU,1710823348
83,brokopondo,4.75,-55.1667,24.87,82,62,4.36,SR,1710823348
84,saint-francois,46.4154,3.9054,6.47,100,100,1.03,FR,1710823289
85,flin flon,54.7682,-101.865,-9.8,86,100,5.78,CA,1710823349
86,new ulm,44.3125,-94.4605,0.87,37,0,4.12,US,1710823349
87,aykhal,66.0,111.5,-17.23,87,36,9.96,RU,1710823350
88,lorengau,-2.0226,147.2712,26.61,83,100,2.34,PG,1710823350
89,priyutnoye,46.1011,43.5072,5.28,78,16,5.36,RU,1710823351
90,isafjordur,66.0755,-23.124,0.01,96,100,8.29,IS,1710823292
91,port saint john's,-31.6229,29.5448,20.29,83,21,2.12,ZA,1710823352
92,georgetown,5.4112,100.3354,33.96,53,20,3.6,MY,1710823102
93,maceio,-9.6658,-35.7353,25.69,100,20,1.03,BR,1710823138
94,svetlyy,54.675,20.1347,1.31,88,52,2.62,RU,1710823353
95,limon,10.0,-83.0333,25.59,86,91,0.34,CR,1710823198
96,klyuchi,52.2667,79.1667,1.08,76,100,5.02,RU,1710823354
97,laayoune,27.1622,-13.2032,19.19,100,8,7.72,EH,1710823354
98,cobh,51.8572,-8.2992,7.58,100,75,4.12,IE,1710823355
99,maintirano,-18.0667,44.0167,26.62,85,26,2.31,MG,1710823355
100,itoman,26.1247,127.6694,20.43,88,75,4.63,JP,1710823356
101,margaret river,-33.95,115.0667,22.59,32,0,3.59,AU,1710823356
102,avarua,-21.2078,-159.775,29.03,74,62,3.09,CK,1710823356
103,burhanpur,21.3,76.2333,31.8,16,1,6.76,IN,1710823357
104,taoudenni,22.6783,-3.9836,23.44,12,100,3.62,ML,1710823358
105,invercargill,-46.4,168.35,14.45,69,23,2.68,NZ,1710823358
106,necochea,-38.5473,-58.7368,15.53,67,88,3.31,AR,1710823359
107,lompoc,34.6391,-120.4579,14.08,92,0,0.0,US,1710823359
108,miracema do tocantins,-9.5618,-48.3967,24.13,93,76,1.03,BR,1710823359
109,protaras,35.0125,34.0583,14.44,80,94,0.45,CY,1710823360
110,ribeira grande,38.5167,-28.7,14.32,81,55,4.92,PT,1710823360
111,alto araguaia,-17.3147,-53.2153,23.3,73,17,1.26,BR,1710823361
112,tura,25.5198,90.2201,32.94,17,49,1.96,IN,1710823222
